RF,nodes Count,
RF_20_t8_sigma_0_1,421,
RF_20_t8_sigma_0_2,229,
RF_20_t8_sigma_0_3,97,
RF_20_t9,182,
RF_20_t9_sigma_0_0,287,
RF_20_t9_sigma_0_1,369,
RF_20_t9_sigma_0_2,204,
RF_20_t9_sigma_0_3,80,
RF_20_t10,114,
RF_20_t10_sigma_0_0,198,
RF_20_t10_sigma_0_1,294,
RF_20_t10_sigma_0_2,189,
RF_20_t10_sigma_0_3,68,
RF_20_t11,63,
RF_20_t11_sigma_0_0,120,
RF_20_t11_sigma_0_1,232,
RF_20_t11_sigma_0_2,166,
RF_20_t11_sigma_0_3,64,
RF_20_t12,29,
RF_20_t12_sigma_0_0,73,
RF_20_t12_sigma_0_1,173,
RF_20_t12_sigma_0_2,135,
RF_20_t12_sigma_0_3,58,
RF_20_t13,14,
RF_20_t13_sigma_0_0,44,
RF_20_t13_sigma_0_1,135,
RF_20_t13_sigma_0_2,104,
RF_20_t13_sigma_0_3,52,
RF_20_t14,7,
RF_20_t14_sigma_0_0,29,
RF_20_t14_sigma_0_1,102,
RF_20_t14_sigma_0_2,86,
RF_20_t14_sigma_0_3,48,
RF_20_t15,6,
RF_20_t15_sigma_0_0,11,
RF_20_t15_sigma_0_1,78,
RF_20_t15_sigma_0_2,72,
RF_20_t15_sigma_0_3,42,
RF_20_t16,2,
RF_20_t16_sigma_0_0,7,
RF_20_t16_sigma_0_1,55,
RF_20_t16_sigma_0_2,58,
RF_20_t16_sigma_0_3,40,
RF_20_t17,2,
RF_20_t17_sigma_0_0,5,
RF_20_t17_sigma_0_1,40,
RF_20_t17_sigma_0_2,50,
RF_20_t17_sigma_0_3,39,
RF_20_t18,1,
RF_20_t18_sigma_0_0,3,
RF_20_t18_sigma_0_1,32,
RF_20_t18_sigma_0_2,44,
RF_20_t18_sigma_0_3,37,
RF_20_t19,1,
RF_20_t19_sigma_0_0,1,
RF_20_t19_sigma_0_1,26,
RF_20_t19_sigma_0_2,40,
RF_20_t19_sigma_0_3,36,
RF_20_t20,1,
RF_20_t20_sigma_0_0,1,
RF_20_t20_sigma_0_1,20,
RF_20_t20_sigma_0_2,39,
RF_20_t20_sigma_0_3,36,
RF_20_t21,1,
RF_20_t21_sigma_0_0,1,
RF_20_t21_sigma_0_1,14,
RF_20_t21_sigma_0_2,36,
RF_20_t21_sigma_0_3,35,
RF_20_t22,1,
RF_20_t22_sigma_0_0,1,
RF_20_t22_sigma_0_1,13,
RF_20_t22_sigma_0_2,36,
RF_20_t22_sigma_0_3,35,
RF_20_t23,1,
RF_20_t23_sigma_0_0,1,
RF_20_t23_sigma_0_1,9,
RF_20_t23_sigma_0_2,35,
RF_20_t23_sigma_0_3,35,
RF_20_t24,1,
RF_20_t24_sigma_0_0,1,
RF_20_t24_sigma_0_1,6,
RF_20_t24_sigma_0_2,32,
RF_20_t24_sigma_0_3,34,
RF_20_t25,1,
RF_20_t25_sigma_0_0,1,
RF_20_t25_sigma_0_1,1,
RF_20_t25_sigma_0_2,24,
RF_20_t25_sigma_0_3,34,
