Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,10,2,0.7,LogisticRegression(max_iter=10000),0.635,0.31,-0.10999999999999999,2.048,0.18500000000000005,6.706,1.0680000000000005,164,0.305,0:00:33.908167,0:00:01.352095
25,10,2,0.6,MultinomialNB(),-0.974,-0.884,-0.984,3.326,0.9540000000000002,18.315,9.570000000000002,83,0.154,0:00:00.008893,0:00:00.885593
25,10,2,0.6,LinearSVC(max_iter=10000),0.488,0.05,-0.28200000000000003,2.431,0.45500000000000007,9.238,2.741999999999999,83,0.154,0:00:37.427544,0:00:00.885593
25,10,2,0.6,LogisticRegression(max_iter=10000),0.52,0.175,-0.245,2.244,0.3810000000000002,8.015,2.3770000000000007,83,0.154,0:00:15.572865,0:00:00.885593
25,15,1,1,MultinomialNB(),-1.28,-1.115,0.0,3.632,0.0,20.559,0.0,1541,1,0:00:00.101545,0:01:35.726617
25,15,1,1,LinearSVC(max_iter=10000),0.857,0.308,0.0,2.013,0.0,6.723,0.0,1541,1,0:18:11.923276,0:01:35.726617
25,15,1,1,LogisticRegression(max_iter=10000),0.872,0.43,0.0,1.843,0.0,5.542,0.0,1541,1,0:07:01.129667,0:01:35.726617
25,15,1,0.975,MultinomialNB(),-1.428,-1.23,-0.11499999999999999,3.727,0.09499999999999975,21.679,1.1199999999999974,1364,0.885,0:00:00.093270,0:01:15.090126
25,15,1,0.975,LinearSVC(max_iter=10000),0.825,0.331,0.02300000000000002,1.992,-0.020999999999999908,6.5,-0.22299999999999986,1364,0.885,0:17:07.956363,0:01:15.090126
25,15,1,0.975,LogisticRegression(max_iter=10000),0.856,0.405,-0.024999999999999967,1.879,0.03600000000000003,5.788,0.24600000000000044,1364,0.885,0:05:25.384678,0:01:15.090126
