Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,10,1,0.7,LinearSVC(max_iter=10000),0.912,0.911,-0.05999999999999994,0.869,-0.08699999999999997,0.911,0.884,-0.08199999999999996,226,0.387,0:09:21.527207,0:02:26.501093
25,10,1,0.7,LogisticRegression(max_iter=10000),0.912,0.91,-0.06099999999999994,0.868,-0.08899999999999997,0.91,0.878,-0.08699999999999997,226,0.387,0:00:57.910731,0:02:26.501093
25,10,1,0.6,MultinomialNB(),0.9,0.9,-0.028000000000000025,0.852,-0.041000000000000036,0.9,0.861,-0.04200000000000004,92,0.158,0:00:00.211076,0:01:29.236581
25,10,1,0.6,LinearSVC(max_iter=10000),0.903,0.902,-0.06899999999999995,0.856,-0.09999999999999998,0.902,0.868,-0.09799999999999998,92,0.158,0:02:12.265193,0:01:29.236581
25,10,1,0.6,LogisticRegression(max_iter=10000),0.898,0.898,-0.07299999999999995,0.847,-0.10999999999999999,0.898,0.853,-0.11199999999999999,92,0.158,0:00:30.146466,0:01:29.236581
25,10,2,1,MultinomialNB(),0.925,0.925,0.0,0.889,0.0,0.925,0.899,0.0,555,1,0:00:00.835782,0:07:59.360400
25,10,2,1,LinearSVC(max_iter=10000),0.972,0.971,0.0,0.956,0.0,0.971,0.966,0.0,555,1,0:17:04.936747,0:07:59.360400
25,10,2,1,LogisticRegression(max_iter=10000),0.973,0.971,0.0,0.957,0.0,0.971,0.964,0.0,555,1,0:03:11.751836,0:07:59.360400
25,10,2,0.975,MultinomialNB(),0.913,0.913,-0.01200000000000001,0.873,-0.016000000000000014,0.913,0.891,-0.008000000000000007,533,0.96,0:00:00.864464,0:07:28.984201
25,10,2,0.975,LinearSVC(max_iter=10000),0.971,0.97,-0.0010000000000000009,0.956,0.0,0.97,0.965,-0.0010000000000000009,533,0.96,0:17:16.647605,0:07:28.984201
25,10,2,0.975,LogisticRegression(max_iter=10000),0.972,0.971,0.0,0.957,0.0,0.971,0.964,0.0,533,0.96,0:03:08.428575,0:07:28.984201
25,10,2,0.95,MultinomialNB(),0.909,0.909,-0.016000000000000014,0.869,-0.020000000000000018,0.909,0.889,-0.010000000000000009,490,0.883,0:00:00.822316,0:06:29.549788
25,10,2,0.95,LinearSVC(max_iter=10000),0.967,0.967,-0.0040000000000000036,0.95,-0.006000000000000005,0.967,0.956,-0.010000000000000009,490,0.883,0:17:31.688680,0:06:29.549788
25,10,2,0.95,LogisticRegression(max_iter=10000),0.969,0.968,-0.0030000000000000027,0.952,-0.0050000000000000044,0.968,0.956,-0.008000000000000007,490,0.883,0:02:44.782261,0:06:29.549788
25,10,2,0.925,MultinomialNB(),0.91,0.91,-0.015000000000000013,0.871,-0.018000000000000016,0.91,0.89,-0.009000000000000008,473,0.852,0:00:00.775003,0:06:08.041934
25,10,2,0.925,LinearSVC(max_iter=10000),0.967,0.966,-0.0050000000000000044,0.949,-0.007000000000000006,0.966,0.955,-0.01100000000000001,473,0.852,0:16:39.490628,0:06:08.041934
25,10,2,0.925,LogisticRegression(max_iter=10000),0.968,0.967,-0.0040000000000000036,0.95,-0.007000000000000006,0.967,0.953,-0.01100000000000001,473,0.852,0:02:42.791395,0:06:08.041934
25,10,2,0.9,MultinomialNB(),0.91,0.911,-0.014000000000000012,0.871,-0.018000000000000016,0.911,0.89,-0.009000000000000008,452,0.814,0:00:00.746155,0:05:42.545782
25,10,2,0.9,LinearSVC(max_iter=10000),0.965,0.965,-0.006000000000000005,0.948,-0.008000000000000007,0.965,0.954,-0.01200000000000001,452,0.814,0:15:40.429727,0:05:42.545782
25,10,2,0.9,LogisticRegression(max_iter=10000),0.968,0.967,-0.0040000000000000036,0.95,-0.007000000000000006,0.967,0.954,-0.010000000000000009,452,0.814,0:02:27.244449,0:05:42.545782
