Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,10,1,0.85,MultinomialNB(),-1.201,-1.074,0.0009999999999998899,0.979,0.0030000000000000027,1.644,-0.001000000000000112,137,0.446,0:00:00.006902,0:00:00.564670
25,10,1,0.85,LinearSVC(max_iter=10000),0.075,-0.031,-0.087,0.611,0.02400000000000002,0.817,0.06899999999999995,137,0.446,0:00:20.885089,0:00:00.564670
25,10,1,0.85,LogisticRegression(max_iter=10000),0.101,-0.007,-0.094,0.598,0.017000000000000015,0.798,0.07500000000000007,137,0.446,0:00:04.954771,0:00:00.564670
25,10,1,0.8,MultinomialNB(),-1.181,-1.095,-0.020000000000000018,0.981,0.0050000000000000044,1.66,0.014999999999999902,114,0.371,0:00:00.006894,0:00:00.442025
25,10,1,0.8,LinearSVC(max_iter=10000),0.054,-0.04,-0.096,0.61,0.02300000000000002,0.824,0.07599999999999996,114,0.371,0:00:15.404631,0:00:00.442025
25,10,1,0.8,LogisticRegression(max_iter=10000),0.075,-0.011,-0.09799999999999999,0.597,0.016000000000000014,0.801,0.07800000000000007,114,0.371,0:00:04.424195,0:00:00.442025
25,10,1,0.7,MultinomialNB(),-1.301,-1.208,-0.133,1.009,0.03299999999999992,1.75,0.10499999999999998,74,0.241,0:00:00.004846,0:00:00.318793
25,10,1,0.7,LinearSVC(max_iter=10000),0.055,-0.016,-0.07200000000000001,0.603,0.016000000000000014,0.805,0.05700000000000005,74,0.241,0:00:09.086197,0:00:00.318793
25,10,1,0.7,LogisticRegression(max_iter=10000),0.08,-0.003,-0.09,0.603,0.02200000000000002,0.795,0.07200000000000006,74,0.241,0:00:02.569911,0:00:00.318793
25,10,1,0.6,MultinomialNB(),-1.385,-1.482,-0.40700000000000003,1.073,0.09699999999999998,1.967,0.32200000000000006,36,0.117,0:00:00.003619,0:00:00.264149
25,10,1,0.6,LinearSVC(max_iter=10000),0.013,-0.063,-0.119,0.61,0.02300000000000002,0.843,0.09499999999999997,36,0.117,0:00:03.492177,0:00:00.264149
25,10,1,0.6,LogisticRegression(max_iter=10000),0.018,-0.013,-0.09999999999999999,0.587,0.006000000000000005,0.803,0.08000000000000007,36,0.117,0:00:01.189424,0:00:00.264149
25,10,2,1,MultinomialNB(),-1.181,-1.051,0.0,0.974,0.0,1.626,0.0,249,1,0:00:00.011851,0:00:01.294429
25,10,2,1,LinearSVC(max_iter=10000),0.192,0.036,0.0,0.595,0.0,0.764,0.0,249,1,0:01:10.157719,0:00:01.294429
25,10,2,1,LogisticRegression(max_iter=10000),0.219,0.069,0.0,0.581,0.0,0.738,0.0,249,1,0:00:05.992366,0:00:01.294429
25,10,2,0.975,MultinomialNB(),-1.317,-1.19,-0.139,1.011,0.03699999999999992,1.736,0.1100000000000001,221,0.888,0:00:00.011026,0:00:01.086031
25,10,2,0.975,LinearSVC(max_iter=10000),0.172,0.034,-0.001999999999999995,0.594,-0.0010000000000000009,0.765,0.0010000000000000009,221,0.888,0:00:55.373650,0:00:01.086031
25,10,2,0.975,LogisticRegression(max_iter=10000),0.176,0.055,-0.014000000000000005,0.59,0.009000000000000008,0.749,0.01100000000000001,221,0.888,0:00:05.086064,0:00:01.086031
25,10,2,0.95,MultinomialNB(),-1.357,-1.214,-0.16300000000000003,1.01,0.03600000000000003,1.755,0.129,195,0.783,0:00:00.008945,0:00:00.885959
25,10,2,0.95,LinearSVC(max_iter=10000),0.161,0.037,0.0010000000000000009,0.586,-0.009000000000000008,0.763,-0.0010000000000000009,195,0.783,0:00:45.277607,0:00:00.885959
25,10,2,0.95,LogisticRegression(max_iter=10000),0.161,0.067,-0.0020000000000000018,0.581,0.0,0.74,0.0020000000000000018,195,0.783,0:00:04.569870,0:00:00.885959
25,10,2,0.925,MultinomialNB(),-1.309,-1.147,-0.09600000000000009,0.994,0.020000000000000018,1.702,0.07600000000000007,180,0.723,0:00:00.008797,0:00:00.789172
25,10,2,0.925,LinearSVC(max_iter=10000),0.143,0.013,-0.023,0.589,-0.006000000000000005,0.783,0.019000000000000017,180,0.723,0:00:37.638917,0:00:00.789172
25,10,2,0.925,LogisticRegression(max_iter=10000),0.142,0.051,-0.01800000000000001,0.585,0.0040000000000000036,0.752,0.014000000000000012,180,0.723,0:00:04.227537,0:00:00.789172
